T,Binder cumulant
1,1.00547
1.01,1.00668
1.02,1.00812
1.03,1.00941
1.04,1.01186
1.05,1.0152
1.06,1.01841
1.07,1.02468
1.08,1.0315
1.09,1.04084
1.1,1.05681
1.11,1.0802
1.12,1.10504
1.13,1.14816
1.14,1.19495
1.15,1.26393
1.16,1.33428
1.17,1.43101
1.18,1.55062
1.19,1.66366
1.2,1.7793
1.21,1.90465
1.22,1.98478
1.23,2.1236
1.24,2.20532
1.25,2.28997
1.26,2.35058
1.27,2.41302
1.28,2.49856
1.29,2.52645
1.3,2.55649
1.31,2.61665
1.32,2.63526
1.33,2.72822
1.34,2.68432
1.35,2.76186
1.36,2.73994
1.37,2.76552
1.38,2.75119
1.39,2.74446
1.4,2.80383
