T,Magnetization
0.1,1
0.2,1
0.3,0.999998
0.4,0.999899
0.5,0.999327
0.6,0.997083
0.7,0.991434
0.8,0.97972
0.9,0.957004
1,0.911727
1.1,0.793214
1.2,0.516463
1.3,0.302287
1.4,0.21417
1.5,0.17209
1.6,0.145852
1.7,0.12812
1.8,0.120495
1.9,0.10907
2,0.102829
2.1,0.0984578
2.2,0.0937164
2.3,0.0902602
2.4,0.0871172
2.5,0.0842117
2.6,0.0819562
2.7,0.0806687
2.8,0.0784977
2.9,0.0765656
3,0.0754758
3.1,0.0736148
3.2,0.0730227
3.3,0.0717211
3.4,0.0710422
3.5,0.0706891
3.6,0.0695578
3.7,0.0690258
3.8,0.067532
3.9,0.0670352
4,0.0661961
